停車場ID,停車場名稱,地址,即時剩餘車位
010056,遠東百貨停車場,板橋區中山路一段152號,-9
060040,崇光女子高中地下停車場,新北市新店區三民路19號B2,-9
120005,水湳洞停車場,新北市瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K),-9
020051,台灣省漁會三重示範魚市場停車場,三重區力行路一段6號,-9
010086,遠東資源開發股份有限公司遠東路1號營業所停車場,新北市板橋區遠東路1號地下一層,-9
010091,金板神大樓地下停車場,新北市板橋區南雅東路20-6號B2,-9
280008,萬里區商業文教綜合大樓地下停車場,萬里區瑪鍊路221號,-9
100029,油車口(B區)停車場,新北市淡水區中正路1段87巷與沙崙路交岔口(B區),-9
100028,竿蓁大型車停車場,新北市淡水區竿蓁一街(海鷗段339地號),-9
020025,新北市果菜運銷股份有限公司停車場,三重區中正北路111號,-9
070008,板樹停車場,樹林區水源街及板橋區溪城路,-9
020003,過圳街停車場,三重區過圳街2~30號前空地,-9
020150,重新橋下機車停車場,重新橋下,-9
010038,板橋環河(南雅西路環河平面停車場),館前西路160巷板城路口,-9
010192,台65高架橋下停車場,湳仔溝沿岸(橋墩編號P114、117、133、135、138、139),-9
010189,浮洲橋下(機車區),大觀路2段148巷口,-9
100048,海關碼頭對面機車場,中正路與文化路口,-9
010188,淡水稽徵所旁機車場,淡水區中正路193號旁,-9
060102,安民街機車場,新店區安民街3巷5號對面,-9
070046,樹林後站自行車停車場,後站街,-9
070047,南樹林站旁機車場,樹林區中山路與東興街口,-9
130074,土城榮家停車場,中央路4段410巷旁,-9
010193,龍安段110地號停車場,板橋區大觀路2段30巷,-9
020149,重新橋下活動中心周邊,重新路重新橋下,-9
020152,中正南路橋下停車場,重新路與中正南路口,-9
060103,秀朗橋下汽車場(新店),秀朗橋下(新店),-9
050054,豐年國民小學學生活動中心地下室停車場,新北市新莊區瓊泰路116號B1,-9
010207,臺北橋下機車停車場,新北市三重區重新路1段3號前,-9
030130,連城機車停車場(中和),新北市中和區連城路127巷48號,-9
140045,鷺江國中地下一樓收費停車場,新北市蘆洲區長樂路235號B1,-9
170065,林口區台61線高架橋下停車場1,臺61線高架橋下橋墩PA17~13.5K,-9
170066,林口區台61線高架橋下停車場2,臺61線高架橋下橋墩15K~P86,-9
050157,熊寶貝停車場,新北市新莊區幸福東路118號旁,-9
020115,水岸長堤停車場,新北市三重區河邊北街168號B1~B3,-9
060105,寶高停車場,新北市新店區寶高路102巷內,-9
170064,力璞玉社區停車場,新北市林口區文化三路1段249巷26~40號B1,-9
110014,忠厚市場地下停車場,新北市汐止區樟樹一路137巷26號B1,27
170067,台61線高架橋下停車場3,林口區台1線高架橋下橋墩PB~1015.6K,-9
060113,北新停車場(萬應科技),新北市新店區北新路1段136號B2,-9
030134,秀山國小收費停車場,新北市中和區立人街2號,-9
110067,汐止一站停車場,新北市汐止區大同路2段125、127、129、131、133、135、137、139、141、143、145、147、149、151、153、155、157、159、161、163、165、167號B1,-9
020161,後港仔停車場,新北市三重區三陽路134號旁,-9
110076,永隆停車場,新北市汐止區福德二路125巷6弄2號旁,-9
170037,圓舞曲社區停車場,新北市林口區文化北路1段299巷16號B1、B2,-9
150023,臻美大廈停車場,新北市五股區新五路2段371號B1,-9
030135,華中二平面路外停車場,新北市中和區中原二街115號旁,-9
040063,啟源停車場,新北市永和區成功路1段78號B5,-9
060108,北新官邸地下停車場,新北市新店區北新路1段128號B1、B2,-9
130080,中正停車場,新北市土城區中正路56巷15號對面,-9
110033,明峰停車場,新北市汐止區明峰街70號之1旁,-9
100052,全聯淡水中山停車場,新北市淡水區中山北路2段102號,-9
050167,民安平面停車場,新北市新莊區中正路721巷與福營路交叉口,-9
030138,牧源停車場,新北市中和區工專路臨38號旁,-9
140051,助安168徐匯商旅停車場,新北市蘆洲區集賢路409號B1~B3,-9
090037,鼎冠小吃店停車場,新北市三峽區大學路86-3號,-9
060119,美河市C棟商場機車停車場,新北市新店區中央路157號地下1層機車區,-9
100026,家福淡新店停車場,新北市淡水區中山北路2段383號B1、B2,-9
010218,ㄧ0九停車場,新北市板橋區金門街109巷底,-9
030049,中和停車場,新北市中和區中和路230巷1號對面,-9
030141,華中三臨時平面停車場,新北市中和區中原二街71號正對面,-9
140027,家福蘆洲店停車場,新北市三重區五華街282號5樓、6樓、頂樓,-9
070053,樹林山佳平面停車場,新北市樹林區佳園路1段92號,-9
050171,丹鳳國小收費停車場,新北市新莊區新北大道7段437號,-9
170075,全聯林口忠孝停車場,新北市林口區忠孝路32、36號,-9
060123,新店國小收費停車場,新北市新店區新店路2號,-9
010220,大觀國小收費停車場,新北市板橋區大觀路1段30號,-9
140055,御寬庭收費停車場,新北市蘆洲區和平路146~152號B1、B2,-9
100039,叭叭房淡江複合學舍停車場,新北市淡水區北新路182巷16-58號B3,-9
130090,寶磊收費停車場,新北市土城區承天路35號B1、B2,-9
170077,永雄御花園停車場,新北市林口區南勢六街246~252號B1,-9
060063,新店區中國城停車場,新北市新店區富貴街9巷及如意街交叉口,-9
100057,水源臨時停車場,新北市淡水區水源街1段103號前,-9
110079,白雲國小收費停車場,新北市汐止區民權街2段90號1F、B1,-9
030136,景秀停車場,新北市中和區景平路240巷2弄1號B1,-9
080038,吉愛停車場,新北市鶯歌區鳳吉二街101號旁,-9
010163,板橋果菜批發市場第一停車場,新北市板橋區板城路1000號,-9
050165,新莊新豐綜合行政大樓附設收費停車場,新北市新莊區樹新路222號B1~B5,-9
110081,福田停車場,新北市汐止區湖前街110巷2弄與湖東街交叉口,-9
020185,I世紀社區停車場,新北市三重區三民街68號B1、B2,-9
110039,正記樟樹停車場,新北市汐止區樟樹一路155巷,-9
080040,鶯歌停車場-陶博站,新北市鶯歌區尖山路55-3號旁空地,-9
020187,元信停車場,新北市三重區五華街1巷44號對面,-9
040055,迪卡儂中和停車場,新北市中和區中山路2段228號6F、7F,-9
020188,元亨股份有限公司中山大樓場停車場,新北市三重區新北大道2段88號B1,-9
050187,新莊思源場停車場,新北市新莊區思源路370巷,-9
100058,仁愛停車場,新北市淡水區仁愛街17號,26
170081,富堡晶璽收費停車場,新北市林口區文化三路1段631號B1,-9
070059,佳記停車場,新北市樹林區保安街2段98號之3旁空地,-9
