縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
Taipei,719,健康1區社會住宅地下停車場,25.05438,121.56408,"計時：小型車及大型重型機車30元/時，機車10元/時(當日單次停車最高收費上限20元/次，隔日另計)，全程以半小時計。月租：小型車全日5,250元/月，日間2,800元/月(07-20)，夜間2,450元/月(18-09)，大型重機2,625元/月，機車300元/月。",無,健康路285號(地下1至3層)
Taipei,783,小彎社會住宅地下停車場,25.05733,121.59432,"計時：小型車30元/時，機車10元/時(當日當次上限20元，隔日另計)，全程以半小時計。月票：小型車3,000元/月，機車300元/月。",無,向陽路246-250號地下1至3層
Taipei,089,春光公園地下停車場,25.04248,121.58098,"計時：小型車30元/時、機車10元/時(當日當次最高收費上限20元，隔日另計)，全程以半小時計費。月租：小型車全日6,600元/月、日間3,600元/月(07-19)、夜間3,600元/月(19-08)；機車300元/月。停放於充電格位之車輛，每小時加收10元，依設備自動判斷未充電者每小時再加收10元（未充電者合計每小時加收20元）。",無,忠孝東路5段666號地下1至3層
Taipei,188,松山車站地下停車場,25.0483,121.57846,"小型車：計時 週一至週四40元/時，週五至週日、行政機關放假之紀念日與民俗日50元/時，停車全程以半小時計，當日單次最高上限300元/日(隔日另計)；月租 全日4,800元/月，日間3,000元/月(07-19)。",無,松山路11號(南廣場B1)
Taipei,039,社園立體停車場,25.08958,121.50594,"小型車：計時 20元/時，停車全程以半小時計；月租 全日3,600元，夜間1,800元(18-08)。",無,延平北路6段180號
Taipei,031,附中公園地下停車場,25.03622,121.54246,"小型車(含大型重型機車)：計時 50元/時(08-21)，10元/時(21-08)，停車全程以半小時計；月租 全日5,760元。",無,復興南路1段340巷11號地下1至2層
Taipei,229,嘉興公園地下停車場,25.02166,121.55193,"小型車：計時 30元/時，全程以半小時計；月租 全日4,800元，大型重機2,400元/月。機車：20元/次，隔日另計；月租300元/月。",無,嘉興街373號地下室(共3層)
Taipei,640,萬華車站地下停車場,25.03363,121.50007,小型車：計時 週一~週五30元/時，週六、週日、行政機關放假之紀念日與民俗日40元/時，全程以半小時計;月租 全日4800元，進場30分鐘內離場免費，超過30分鐘以全價計收。,無,康定路382號地下1至2層
Taipei,016,中山堂地下停車場,25.04404,121.51058,"小型車：計時 週一~週五50元/時(08時~20時)，10元/時(20時~08時)，週六、週日、行政機關放假之紀念日與民俗日60元/時(10時~20時)，10元/時(20時~10時)，停車全程以半小時計；月租 全日4,800元，日間3,600元(07時~19時)，夜間1,000元(19時~08時)。",無,延平南路98號地下1至2層
Taipei,007,萬華國中地下停車場,25.02918,121.49957,"小型車(含大型重型機車)：計時 20元/時，停車全程以半小時計；月租 全日4,800元，日間2,800元(07時~19時)，夜間2,000元(19時~08時)。機車：20元/次；月租300元/月。",無,西藏路201號地下
Taipei,785,廣慈社會住宅2區地下停車場,25.03862,121.58102,"計時：小型車30元/時、機車10元/時(當日當次最高上限20元)，全程以半小時計費。月租：小型車全日4,800元/月、機車全日300元/月。",無,福德街84巷50、56號地下1-4層
Taipei,086,振興公園地下停車場,25.11877,121.52323,"計時：小型車40元/時(08-23時)，20元/時(23-翌日08時)；機車10元/時，當日最高收費上限20元(隔日另計)；全程以半小時計費，停放於充電格位之車輛，每小時加收10元，依設備自動判斷未充電者每小時再加收10元(未充電者合計每小時加收20元)。月租：全日小型車4,200元/月，夜間(19-08時)2,000元/月，機車300元/月。",無,天母西路112號地下室(地下共3層)
Taipei,036,大豐公園地下停車場,25.13113,121.5042,"小型車：計時 40元/時(07時~22時)，10元/時(22時~07時)，全程以半小時計；月租 全日4,000元。",無,大興街145號地下
Taipei,032,西松高中地下停車場,25.05582,121.56608,"小型車：計時 30元/時(08時~22時)，10元/時(22時~08時)，全程以半小時計；月租 全日5,250元，日間2,800元(07時~20時)，夜間2,450元(18時~09時)。",無,健康路325巷19弄1號地下
Taipei,090,萬板地下停車場,25.02862,121.49126,"計時：小型車及大型重型機車30元/時，全程以半小時計費。月租：小型車全日5,200元/月、日間3,600元/月(07-19)；大型重型機車全日月票2,600元/月。停放於充電格位之車輛，每小時加收10元，依設備自動判斷未充電者每小時再加收10元（未充電者合計每小時加收20元）。",無,艋舺大道462號地下1至2層
Taipei,049,大業立體停車場,25.13774,121.50281,"小型車：計時 30元/時，停車全程以半小時計；月租 全日3,000元。",無,大業路745號
Taipei,059,市民大道林金段停車場,25.04686,121.52792,"小型車(含大型重型機車)：計時 週一~週五(09時~18時)30元/時，(18時~09時)20元/時，週六、週日、行政機關放假之紀念日與民俗日20元/時，全程以半小時計;月租 全日3,600元，日間2,400元(07時~19時)，夜間1,000元(週一至週五19時~08時，週六、日及政府行政機關放假之紀念日、民俗節日之全日)，大型重機1,800元/月",無,市民大道2段(林森北路至金山北路)地下1-2層
Taipei,074,偶戲博物館地下停車場,25.04704,121.56176,"小型車：週一至週五30元/時，週六、週日、行政機關放假之紀念日與民俗日40元/時，停車全程以半小時計；月租：全日5,400元，夜間2,400元(19-08)。機車：10元/時，當日當次停車最高收費上限20元/次，隔日另計；月租300元。本場常因配合大巨蛋活動調整費率為80元/時，請參閱現場費率調整公告。",無,市民大道5段99號地下1層
Taipei,081,康樂立體停車場,25.07216,121.6191,"計時：30元/時，停車全程以半小時計。月租：全日4,000元/月。",無,康樂街138號
Taipei,034,辛亥國小地下停車場,25.00602,121.55845,"小型車：計時 20元/時(08時~18時)，10元/時(18時~08時)，停車全程以半小時計；月租 全日3,840元。",無,辛亥路4段103號地下共2層
Taipei,048,信義廣場地下停車場,25.03306,121.56643,"小型車：計時 週一~週五50元/時(08時~22時)，10元/時(22時~08時)，週六、週日、行政機關放假之紀念日與民俗日60元/時(08時~22時)，10元/時(22時~08時)，；月租 全日4,800元，日間3,500元(07時~20時)，夜間500元(21時~08時)。機車：20元/次，隔日另計；月租300元/月。",無,信義路5段11號地下
Taipei,107,信義國小地下停車場,25.03183,121.56246,"小型車：計時 40元/時，全程以半小時計；月租 全日5,000元，日間3,000元(07時~19時)，夜間2,400元(19時~08時)。機車：20元/次，隔日另計；月租300元/月。",無,松勤街60號地下
Taipei,058,市民大道中林段停車場,25.0479,121.52273,"小型車(含大型重型機車)：計時 週一~週五(09時~18時)30元/時，(18時~09時)20元/時，週六、週日、行政機關放假之紀念日與民俗日20元/時，全程以半小時計;月租 全日3,600元，日間2,400元(07時~19時)，夜間1,200元(週一至週五19時~08時，週六、日及政府行政機關放假之紀念日、民俗節日之全日)，大型重機1,800元/月",無,市民大道2段(中山北路至林森北路)地下1-2層
Taipei,109,湖興立體停車場,25.06771,121.5904,"計時：30元/時(07-22)，10元/時(22-07)，停車全程以半小時計。月租：全日3,600元/月，夜間1,500元/月(19-08)。",無,成功路2段322號
Taipei,114,景美國小地下停車場,24.98854,121.54026,"計時：小型車及大型重型機車20元/時，停放充電格位30元/時，停放充電格位未充電40元/時，全程半小時計費。月租：小型車全日月票4,800元、日間月票2,000元(07-19)、夜間月票1,200元(19-08)；大型重型機車全日月票2,400元；機車全日月票300元。計次：機車20元/次，隔日另計。",無,景文街142巷2號地下(地下3層
Taipei,044,青年公園高爾夫球場地下停車場,25.02491,121.50729,"小型車(含大型重型機車)：計時 30元/時，停車全程以半小時計；月租 全日4,800元，夜間2,400元(18時~08時)。機車：20元/次，隔日另計；月租300元/月。",無,國興路5號地下
Taipei,195,臺北製糖所文化園區地下停車場,25.03355,121.49432,"小型車(含大型重型機車)：計時 20元/時，停車全程以半小時計；月租 全日4,800元。",無,大理街160巷2號地下
Taipei,128,萬興國小地下停車場,24.98945,121.57666,"小型車：計時 週一~週五20元/時，週六、週日、行政機關放假之紀念日與民俗日30元/時(08時~20時)，20元/時(20時~08時)，全程以半小時計；月租 全日3,500元，日間1,800元(08時~20時)，夜間2,000元(週一至週五20時~08時，週六、日及政府行政機關放假之紀念日、民俗節日之全日)，大型重機1,750元/月。機車：20元/次，隔日另計；月租300元/月。",無,秀明路2段116號地下
Taipei,165,玉成公園地下停車場,25.0418,121.58691,"小型車：計時 20元/時，全程以半小時計；月租 全日4,800元，夜間2,400元(週一至週五19時~08時，週六、日及政府行政機關放假之紀念日、民俗節日之全日)，大型重機2,400元/月。機車：20元/次，隔日另計；月租300元/月。",無,成福路118號地下
Taipei,053,民生立體停車場,25.05838,121.55957,"小型車：計時 30元/時，全程以半小時計，全日雙月票11,520元。",無,民生東路5段84號
Taipei,718,青年一期社會住宅地下停車場,25.02026,121.50346,"小型車(含大型重型機車)：計時 30元/時，停車全程以半小時計；月租 全日4,800元，大型重機4,800元/月。機車：月租300元/月。",無,青年路188號地下1至2層
Taipei,829,安康公車調度站臨時平面停車場,25.06733,121.61321,"小型車：計時 20元/時(09時~17時)，全程以半小時計，其餘時段不收費；月租 日間4,000元(09時~17時)。機車：20元/次，星期六及星期日09時至17時(當日當次，其餘時段不收費)。",無,五分街12號旁空地
Taipei,002,松壽廣場地下停車場,25.03715,121.56641,小型車：計時 週一~週五(09時~22時)30元/時，(22時~09時)10元/時，週六、週日、行政機關放假之紀念日與民俗日(09時~22時)60元/時，(22時~09時)10元/時，全程以半小時計;月租 全日4200元，夜間1000元(19時~08時),無,松智路15號（地下共3層）
Taipei,087,民有市場地下停車場,25.06083,121.54674,"小型車：計時 30元/時，停車全程以半小時計；月租 全日5,750元，夜間3,200元(19時~08時)。機車：10元/時，當日單次停車最高收費上限20元/次，隔日另計；月租300元/月。",無,民權東路3段140巷15號地下
Taipei,713,新奇岩社會住宅地下停車場,25.12326,121.50334,"小型車(含大型重型機車)：30元/時，停車全程以半小時計；月租全日4,600元，大型重機2,300元。機車：10元/時，當日當次停車最高收費上限20元/次，隔日另計；月租300元。",無,磺港路261號地下層（共三層）
Taipei,103,南港國小地下停車場,25.05659,121.61129,"小型車：計時 週六、週日、行政機關放假之紀念日與民俗日20元/時，週一~週五30元/時(08時~20時)，20元/時(20時~08時)，；月租 全日4,800元，日間3,500元(08時~20時)，夜間1,000元(週一至週五19時~08時，週六、日及政府行政機關放假之紀念日、民俗節日之全日)，大型重機2,400元/月。機車：20元/次，隔日另計；月租300元/月。",無,興東街59號地下
Taipei,001,府前廣場地下停車場,25.03653,121.56211,小型車：計時 (09時~18時)30元/時，(18時~09時)10元/時，全程以半小時計;月租 全日4200元，夜間1000元(週一至週五19時~08時，週六、日及政府行政機關放假之紀念日、民俗節日之全日)。機車：機車收費10元/時，當日單次停車最高收費上限20元/日，隔日另計;機車月租300元/月,無,松壽路1號(地下共2層)
