縣市/國道,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
YunlinCounty,01F0502,西螺南下服務區,23.78853,120.47768,免費，依高快速公路法規限停4小時,有,雲林縣西螺鎮振興里1號
Taipei,03F0801,木柵休息站,24.975969314575195,121.57000732421875,無,無,臺北市文山區老泉街45巷
Tainan,01F0601,新營北上服務區,23.33865,120.31196,無,有,臺南市後壁區新厝72號
Tainan,01F0701,仁德北上服務區,22.90571,120.26641,免費,有,臺南市仁德區中洲路1巷200號
Tainan,03F1701,關廟北上服務區,22.92865,120.35299,免費,有,臺南市楠坑里楠坑12-1號
Tainan,01F0702,仁德南下服務區,22.90613,120.2653,免費,有,臺南市仁德區中洲路1巷200號
YilanCounty,05F1905,蘇澳服務區,24.62116050720215,121.81620788574219,全程免費,有,宜蘭縣蘇澳鎮蘇新路81號
Tainan,01F0602,新營南下服務區,23.34108,120.3123,無,有,臺南市後壁區竹新里新厝69號
HsinchuCounty,03F1002,寶山休息站,24.755800247192383,121.0256118774414,不收費,無,新竹縣寶山鄉水仙路
NewTaipei,05F1805,石碇服務區,25.008769989013672,121.645263671875,無,有,新北市石碇區文山路1段6號
NantouCounty,03F1305,南投服務區,23.89965,120.71088,免費，依高快速公路法規限停4小時,有,南投縣南投市南鄉路250巷142弄6號
NantouCounty,06F2005,東草屯休息站,24.00455,120.7339,免費停車,有,南投縣草屯鎮玉屏路55-77號
MiaoliCounty,03F1101,西湖北上服務區,24.56489,120.76117,免費，依高快速公路法規限停4小時,有,苗栗縣西湖鄉湖東村埔頂29號
Tainan,03F1602,新化南下休息站,23.031509399414062,120.32711791992188,無,無,臺南市新化區國道3號350k(南下側)
HsinchuCounty,03F0905,關西服務區,24.800809860229492,121.19328308105469,不收費,有,新竹縣關西鎮東安里11鄰上屯14號
HsinchuCounty,01F0302,湖口南下服務區,24.857370376586914,121.0088882446289,無,有,新竹縣湖口鄉國強街1巷8號
Taichung,01F0402,泰安南下服務區,24.3297,120.71066,免費,有,臺中市后里區台中市月眉里安眉路113號
YunlinCounty,03F1405,古坑服務區,23.60756,120.54484,無,有,雲林縣古坑鄉崁腳村新興100號
Tainan,03F1702,關廟南下服務區,22.93,120.35003,免費,有,臺南市龍崎區楠坑里楠坑12-1號
Tainan,03F1505,東山服務區,23.28743,120.39834,無,有,臺南市台南市科里里枋子林74-6號
Taoyuan,01F0105,中壢服務區,25.003719329833984,121.25186157226562,無,有,桃園市中壢區內定二街998-3號
HsinchuCounty,01F0301,湖口北上服務區,24.86125946044922,121.01191711425781,無,有,新竹縣湖口鄉榮光路158號
Taoyuan,01F2002,楊梅休息站,24.89957046508789,121.14669799804688,無,無,桃園市楊梅區校前路294巷69號
Tainan,03F1601,新化北上休息站,23.030580520629883,120.32791137695312,免費,無,臺南市新化區國道3號350k(北上側)
Taichung,01F0401,泰安北上服務區,24.32835,120.71623,免費,有,臺中市后里區月眉里九甲七路400號
YunlinCounty,01F0501,西螺北上服務區,23.78867,120.47916,免費，依高快速公路法規限停4小時,有,雲林縣西螺鎮振興里2號
MiaoliCounty,03F1102,西湖南下服務區,24.56564,120.75904,免費，依高快速公路法規限停4小時,有,苗栗縣西湖鄉湖東村埔頂29號
Taichung,03F1205,清水服務區,24.28093,120.60078,免費，依高快速公路法規限停4小時,有,臺中市清水區吳厝里七鄰吳厝二街87號
