縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
NewTaipei,010056,遠東百貨停車場,25.010925,121.464492,小型車計時60元;,未提供,板橋區中山路一段152號
NewTaipei,060040,崇光女子高中地下停車場,24.971675,121.539415,小型車月租3000元;,未提供,新北市新店區三民路19號B2
NewTaipei,120005,水湳洞停車場,25.121943,121.864486,小型車免費;,未提供,新北市瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K)
NewTaipei,020051,台灣省漁會三重示範魚市場停車場,25.06652,121.488401,小型車計時30元;,未提供,三重區力行路一段6號
NewTaipei,010086,遠東資源開發股份有限公司遠東路1號營業所停車場,24.998633,121.457164,機車計時10元;小型車計時30元;,未提供,新北市板橋區遠東路1號地下一層
NewTaipei,010091,金板神大樓地下停車場,25.006374,121.454607,小型車計時30元;小型車月租2600元;,未提供,新北市板橋區南雅東路20-6號B2
NewTaipei,280008,萬里區商業文教綜合大樓地下停車場,25.179811,121.689747,小型車月租1000元;,未提供,萬里區瑪鍊路221號
NewTaipei,100029,油車口(B區)停車場,25.181155,121.420383,大型車計次120元;小型車計次60元;,未提供,新北市淡水區中正路1段87巷與沙崙路交岔口(B區)
NewTaipei,100028,竿蓁大型車停車場,25.165958,121.449062,大型車計時40元;,未提供,新北市淡水區竿蓁一街(海鷗段339地號)
NewTaipei,020025,新北市果菜運銷股份有限公司停車場,25.064548,121.487001,;,未提供,三重區中正北路111號
NewTaipei,070008,板樹停車場,24.980998,121.427673,小型車計時20元;小型車月租4000元;,未提供,樹林區水源街及板橋區溪城路
NewTaipei,020003,過圳街停車場,25.059305,121.488376,小型車計時20元;,未提供,三重區過圳街2~30號前空地
NewTaipei,020150,重新橋下機車停車場,25.053827,121.485484,機車免費;,未提供,重新橋下
NewTaipei,010038,板橋環河(南雅西路環河平面停車場),25.013092,121.451362,;,未提供,館前西路160巷板城路口
NewTaipei,010192,台65高架橋下停車場,25.009712,121.451031,小型車計時20元;,未提供,湳仔溝沿岸(橋墩編號P114、117、133、135、138、139)
NewTaipei,010189,浮洲橋下(機車區),24.998744,121.441594,機車免費;,未提供,大觀路2段148巷口
NewTaipei,100048,海關碼頭對面機車場,25.173867,121.434776,機車計時30元;,未提供,中正路與文化路口
NewTaipei,010188,淡水稽徵所旁機車場,25.173867,121.434776,機車計次30元;,未提供,淡水區中正路193號旁
NewTaipei,060102,安民街機車場,24.964149,121.514365,機車免費;,未提供,新店區安民街3巷5號對面
NewTaipei,070046,樹林後站自行車停車場,24.991172,121.42346,機車免費;,未提供,後站街
NewTaipei,070047,南樹林站旁機車場,24.980257,121.408817,機車免費;,未提供,樹林區中山路與東興街口
NewTaipei,130074,土城榮家停車場,24.953244,121.411862,小型車計時20元;,未提供,中央路4段410巷旁
NewTaipei,010193,龍安段110地號停車場,25.001919,121.444741,小型車免費;,未提供,板橋區大觀路2段30巷
NewTaipei,020149,重新橋下活動中心周邊,25.048742,121.478784,;,未提供,重新路重新橋下
NewTaipei,020152,中正南路橋下停車場,25.060861,121.493256,機車免費;,未提供,重新路與中正南路口
NewTaipei,060103,秀朗橋下汽車場(新店),24.988529,121.531699,;,未提供,秀朗橋下(新店)
NewTaipei,050054,豐年國民小學學生活動中心地下室停車場,25.031266,121.44369,小型車月租3500元;小型車月租2500元;,未提供,新北市新莊區瓊泰路116號B1
NewTaipei,010207,臺北橋下機車停車場,25.064263,121.503613,;,未提供,新北市三重區重新路1段3號前
NewTaipei,030130,連城機車停車場(中和),24.997158,121.497375,;,未提供,新北市中和區連城路127巷48號
NewTaipei,140045,鷺江國中地下一樓收費停車場,25.090621,121.462067,小型車月租2000元;,未提供,新北市蘆洲區長樂路235號B1
NewTaipei,170065,林口區台61線高架橋下停車場1,25.13521,121.364167,;,未提供,臺61線高架橋下橋墩PA17~13.5K
NewTaipei,170066,林口區台61線高架橋下停車場2,25.129666,121.350728,;,未提供,臺61線高架橋下橋墩15K~P86
NewTaipei,050157,熊寶貝停車場,25.04981,121.46282,小型車計時50元;小型車月租4000元;機車免費;,未提供,新北市新莊區幸福東路118號旁
NewTaipei,020115,水岸長堤停車場,25.073374,121.502925,小型車計時50元;,未提供,新北市三重區河邊北街168號B1~B3
NewTaipei,060105,寶高停車場,24.97468,121.55366,小型車計時30元;小型車月租4000元;,未提供,新北市新店區寶高路102巷內
NewTaipei,170064,力璞玉社區停車場,25.071919,121.362929,小型車月租3000元;,未提供,新北市林口區文化三路1段249巷26~40號B1
NewTaipei,110014,忠厚市場地下停車場,25.065977,121.640898,小型車計時20元;小型車月租3500元;重型機車計時20元;重型機車月租1500元;,未提供,新北市汐止區樟樹一路137巷26號B1
NewTaipei,170067,台61線高架橋下停車場3,25.128002,121.346347,;,未提供,林口區台1線高架橋下橋墩PB~1015.6K
NewTaipei,060113,北新停車場(萬應科技),24.97037,121.54274,小型車月租2500元;,未提供,新北市新店區北新路1段136號B2
NewTaipei,030134,秀山國小收費停車場,24.995898,121.520318,小型車計時20元;小型車月租2000元;,未提供,新北市中和區立人街2號
NewTaipei,110067,汐止一站停車場,25.064377,121.650653,小型車計時60元;小型車月租7000元;,未提供,新北市汐止區大同路2段125、127、129、131、133、135、137、139、141、143、145、147、149、151、153、155、157、159、161、163、165、167號B1
NewTaipei,020161,後港仔停車場,25.058728,121.48119,小型車計時20元;小型車月租2500元;,未提供,新北市三重區三陽路134號旁
NewTaipei,110076,永隆停車場,25.064821,121.630989,小型車月租2500元;,未提供,新北市汐止區福德二路125巷6弄2號旁
NewTaipei,170037,圓舞曲社區停車場,25.073393,121.359558,小型車月租5000元;機車月租500元;,未提供,新北市林口區文化北路1段299巷16號B1、B2
NewTaipei,150023,臻美大廈停車場,25.088458,121.44403,小型車月租1500元;機車月租100元;,未提供,新北市五股區新五路2段371號B1
NewTaipei,030135,華中二平面路外停車場,25.011777,121.486417,小型車計時20元;小型車月租2500元;,未提供,新北市中和區中原二街115號旁
NewTaipei,040063,啟源停車場,25.003401,121.526762,小型車月租4000元;,未提供,新北市永和區成功路1段78號B5
NewTaipei,060108,北新官邸地下停車場,24.970179,121.542511,小型車計時40元;小型車月租4200元;小型車月租3200元;小型車月租1800元;機車計次20元;機車月租300元;,未提供,新北市新店區北新路1段128號B1、B2
NewTaipei,130080,中正停車場,24.974583,121.444087,小型車月租2500元;,未提供,新北市土城區中正路56巷15號對面
NewTaipei,110033,明峰停車場,25.071458,121.632065,小型車計時20元;小型車月租2000元;,未提供,新北市汐止區明峰街70號之1旁
