縣市,路段ID,路段名稱,緯度,經度,費率資訊,電動車充電樁,位置描述
Taipei,40500C0,昆明街(B),25.03533,121.50321,40元(09:00-17:00),無,昆明街(B)(桂林路到和平西路)
Taipei,1449000,育仁路,25.13233,121.49873,50元(09:00-17:00),無,育仁路(光明路到大業路)
Taipei,3014031,金山南路2段31巷,25.03279,121.52906,20元(09:00-17:00),無,金山南路2段31巷(金山南路2段到麗水街)
Taipei,1046000,承德路6段,25.11025,121.51095,20元(09:00-17:00),無,承德路6段(雙溪橋到文林北路)
Taipei,1047179,承德路4段179巷含機車,25.08789,121.52383,40元(07:00-20:00),無,承德路4段179巷含機車(基河路到承德路四段)
Taipei,3008000,杭州南路1段,25.03555,121.52421,累進及差別費率D(07:00-20:00),無,杭州南路1段(忠孝東路到信義路)
Taipei,60610B0,新生北橋下C(二),25.0603,121.52776,40元(07:00-21:30),無,新生北橋下C(二)(民權東路到錦州街)
Taipei,40290B0,峨嵋街B,25.04403,121.50504,40元(09:00-21:00),無,峨嵋街B(康定路到昆明街)
Taipei,10770B0,士商路B,25.09647,121.5155,累進及差別費率K(09:00-17:00),無,士商路B(承德路五段到中正路)
Taipei,3046000,安和路2段,25.02759,121.54987,40元(07:00-20:00),無,安和路2段(信義路到和平東路)
Taipei,6064000,新生北橋下D(一),25.06825,121.52775,40元(07:00-21:30),無,新生北橋下D(一)(民族東路到民權東路)
Taipei,1079396,基河路396巷,25.09493,121.51662,30元(09:00-17:00),無,基河路396巷(基河路到士商路)
Taipei,3110000,景興路,24.98995,121.54268,20元(09:00-17:00),無,景興路(興隆路到木柵路)
Taipei,1020000,塔城街,25.05327,121.51015,40元(07:00-20:00),無,塔城街(鄭州路到南京西路)
Taipei,40400A0,西寧南路A,25.04282,121.50604,60元(09:00-21:00),無,西寧南路A(忠孝西路到成都路)
Taipei,60610A0,新生北橋下C(三),25.06026,121.5275,40元(07:00-21:30),無,新生北橋下C(三)(錦州街到民生東路)
Taipei,3010000,丹陽街,25.03935,121.52365,40元(07:00-20:00),無,丹陽街(紹興南街到杭州南路1段)
Taipei,1049000,重慶北路1段,25.04962,121.51323,60元(09:00-17:00),無,重慶北路1段(南京西路到鄭州路)
Taipei,4024000,洛陽街,25.04747,121.50737,50元(09:00-21:00),無,洛陽街(中華路到西寧南路)
Taipei,2061000,民生東路2段,25.05777,121.53329,60元(07:00-20:00),無,民生東路2段(松江路到建國北路)
Taipei,2049166,農安街166巷,25.06464,121.53382,40元(07:00-20:00),無,農安街166巷(松江路357巷到農安街)
Taipei,3014000,金山南路2段,25.03395,121.52705,50元(07:00-20:00),無,金山南路2段(信義路到和平東路)
Taipei,213200A,至善路2段,25.11058,121.55732,50元(09:00-17:00),無,至善路2段(至善路2段242巷到中社路1段)
