軌道業者,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
TRA,TRAJTY0120,岡山站前南側停車場,22.79203,120.29937,"計時:小型車每三十分鐘收費  15 元。平日最高100元，假日最高120元 ,計次:機車每次收費  50元。            ",有,820高雄市岡山區中山南路535號
TRA,TRAJTY0131,屏東站前東側停車場,22.669109344482422,120.48815155029297,機車平日25/假日35 汽車每半小時15,無,屏東縣屏東市  擇仁里公勇路 62 號
TRA,TRAJTY0127,新左營停1,22.68655014038086,120.30596160888672,汽車每小時50,無,高雄市左營區高鐵路103號
TRA,TRAJSY4010,羅東停四停車場,24.677019119262695,121.77497100830078,機車臨停每次20元、機車月租500元。,無,宜蘭縣羅東鎮公正路2號
TRA,TRAJSY4001,頭城停一停車場,24.858299255371094,121.82260131835938,"汽車計時平日每日50元;假日每日100元;機車計時10元,每日上限30元",無,宜蘭縣頭城鎮纘祥路59號
TRA,TRAJLY0105W,臺北車站西區地下停車場,25.04754066467285,121.51538848876953,平日60元/時，假日70元/時，停車未滿半小時以半小時計，當日每次優惠最高500元(隔日另計)；月租全日7000元(身障半價),有,臺北市中正區北平西路3號西區B1
TRA,TRAJTY0164,美術館站附屬停車場,22.65462,120.28123,15元/半小時，入場12H最高80元。,有,高雄市鼓山區翠華路267號(台鐵美術館站)停車場
TRA,TRAJTY0163,內惟站附屬停車場,22.66679,120.28828,半小時20元.12小時120元,有,高雄市鼓山區馬卡道路421號
TRA,TRAJSY4013,蘇澳停一停車場,24.59528923034668,121.85247802734375,汽車每30分/15元、每日最高100元，月租1200元，機車及自行車每日/次20元，月租300元,無,宜蘭縣蘇澳鎮蘇南里太平路1號
TRA,TRAJTY0139,鼓南停車場,22.61965,120.27264,每半小時50元，當日連續停放最高500元。,無,高雄市鼓山區鼓南段一小段475-12地號部分土地(濱海一路上)
TRA,TRAJNY3304,豐富停1,24.60403060913086,120.82689666748047,汽車每半小時10元(當日最高70元)，機車每次30元,無,苗栗縣後龍鎮高鐵一路66號
TRA,TRAJLY1308,新店碧潭停車場,24.96076,121.53781,40元/時，月租4600元,無,新北市新店區環河路19巷5弄2號
TRA,TRAJTY0130,屏東站前西側機車停車場,22.66913,120.4832,機車平日20/假日30,無,屏東縣屏東市  擇仁里公勇路 62 號
TRA,TRAJAB0201,松山BOT多目標棟停車場,25.04907989501953,121.58106231689453,20元/半小時 12小時180元,無,臺北市南港區市民大道七段8號9樓
TRA,TRAJLY0107E,松山車站東區地下機車停車場,25.04905,121.58044,臨停15元/半小時，當日當次最高收費上限30元，跨日另計；月租:300元,無,臺北市松山區松山路11號
TRA,TRAJTY0140,山下里停車場,22.62834,120.27893,每半小時15元,有,高雄市鼓山區鼓山一路119巷2號
TRA,TRAJSY4012,頭城停二停車場,24.85761,121.82229,汽車平日每次50元、假日每次100元,無,宜蘭縣頭城鎮纘祥路59號
TRA,TRAJNY3402,民雄停車場,23.55578,120.4316,小型車:平日每次100元，假日每次180元 ；月租1000元。機車:每日20元；月租400元。腳踏車:每日10元；月租200元。,無,嘉義縣民雄鄉東榮村和平路2號
TRA,TRAJTY0122,榮帝岡山停5停車場,22.7933,120.29691,平日、假日每半小時30元，當日最高收費150元 月租:1200元 ,有,高雄市岡山區民有路６８號
TRA,TRAJTY0145,市中一路停車場,22.637069702148438,120.28652954101562,每半小時30元(當日連續停放最高收費300元),無,高雄市三民區市中一路453號
TRA,TRAJNY0109,大慶車站附設停車場,24.118560791015625,120.6470718383789,汽車：20元/時；,無,臺中市南區樹德里7鄰大慶街2段130號
TRA,TRAJNY0110,新烏日站法定停車場,24.10909,120.61451,機車:平日30元/次 ，假日40元/次，汽車：30元/時；平日最高：120元，假日最高：150元,有,臺中市烏日區高鐵東一路26號地下1-2樓
TRA,TRAJLY1302,樹林車站後站停車場,24.990589141845703,121.42375183105469,機車：每次/日：35元。 汽車：40元/每小時，平日每日上限280元，假日每日上限600元。身障汽機車: 每小時半價計。,無,新北市樹林區後站街3巷
TRA,TRAJNY0101,豐原火車站附設停車場,24.255830764770508,120.72464752197266,平日20/每小時，假日30元/每小時,有,臺中市豐原區中正路1-1號
TRA,TRAJNY0106,精武車站附設停車場,24.150720596313477,120.69792175292969,機車平日$10/12小時，假日$20/12小時(當日當次，隔日另計),無,臺中市東區東光路161號
TRA,TRAJTY0142,鹽埕停車場,22.631689071655273,120.28359985351562,每半小時40元，當日最高300元，月租3500元,無,高雄市鹽埕區建國四路-北斗街
TRA,TRAJSY0104,玉里停一停車場,23.33092,121.31196,目前暫時未收費,無,花蓮縣康樂街39號
TRA,TRAJTY0102,鳳山火車站法定停車場,22.631479263305664,120.35514068603516,機車平日30/假日40 汽車平日15/半小時 (當日最高150) 假日20/半小時 (當日最高200),無,高雄市鳳山區830曹公路68號
TRA,TRAJTY0135,林邊停車場,22.43151092529297,120.51573944091797,小型車每次收費50元、機車每次收費10元，隔日另計,無,屏東縣林邊鄉  仁和村仁愛路 33 號
TRA,TRAJLY2610,基隆停4,25.132980346679688,121.73535919189453,停車未滿5分鐘免費，每小時40元累積計費,無,基隆市安樂區西定路82號
TRA,TRAJLY2606,七堵停3,25.09777,121.71602,臨停：每半小時15元，每小時30元，平日停車費最高120元，假日停車費最高150元,無,基隆市七堵區崇義街6巷1號
TRA,TRAJSY4202,臺東停2停車場,22.79463,121.12318,每日每次10元,無,臺東縣臺東市岩灣里岩灣路101巷598號
TRA,TRAJTY0128,新左營停2,22.68927001953125,120.30841827392578,機車平日25/假日30,無,高雄市  尾北里站前路 
TRA,TRAJNY0105,松竹火車站附設停車場,24.17816,120.70165,每小時:20元,有,臺中市北屯區松竹路一段1473巷100號
TRA,TRAJSY4005,宜蘭停五停車場,24.75341,121.75885,"計時平日1小時以內60元,1小時以上每半小時30元;汽車月租3600元",有,宜蘭縣宜蘭市林森路105號
TRA,TRAJLY2607,基隆停1,25.133800506591797,121.73444366455078,臨停：每小時20元，12小時80元；月租：6000元/季繳,無,基隆市安樂區西定路103號
TRA,TRAJLY0104,臺北車站西側地上停車場,25.048009872436523,121.51573181152344,臨停：平日50元/時，停車未滿半小時以半小時計，當日每次優惠最高300元(隔日另計)；機車10元/時，當日每次優惠最高800元(隔日另計)。月租：全日6000元，機1200元 (身障半價)；租賃車：7500元,有,臺北市中正區北平西路3號西側地面
TRA,TRAJLY2601,汐止停1,25.064210891723633,121.65328216552734,臨停：40元/小時、夜間10元/小時(以24-06為夜間) ，當日最高收費350元,無,新北市汐止區大同路二段182號旁高架橋下
TRA,TRAJNY3301,竹南法定停車場,24.68634033203125,120.88040161132812,每半小時10元,無,苗栗縣竹南鎮中山路166號
TRA,TRAJLY2604,汐止停4,25.07132911682129,121.66487121582031,計時：15元/30分鐘， 12小時最高100元；月租：3000元/月,無,新北市汐止區大同路二段637號對面高架橋下
TRA,TRAJLY2605,七堵停1,25.0931396484375,121.71459197998047,臨停每30分鐘15元，每1小時30元，逾30分鐘以1小時計算，當日最高180元。,無,基隆市七堵區東新街2號
TRA,TRAJNY3404,嘉義林森西路停車場,23.48086,120.44345,汽車：每半小時10元 / 機車：每次20元,無,嘉義市西區番社里林森西路502號
TRA,TRAJNY3303,苗栗停3,24.5568,120.81538,計時場：每小時20元，月租2400元/計次場：每次60元,有,苗栗縣苗栗市至公路183號
TRA,TRAJNY3403,大林停車場,23.60157,120.45609,小型車30元/時、機車計次20元/日，小型車月租1200元、機車月租450元,無,嘉義縣大林鎮中山路2號
TRA,TRAJNY0111,建國段停車場,24.13705,120.68376,計時:汽車平日半小時20元，當日最高200元，國定例假日汽車半小時30元，當日最高300元，優惠時段(00:00~08:00)半小時10元，機車平日30元，假日40元,無,臺中市中區建國路111號旁
TRA,TRAJNY2305,員林靜修停車場,23.96215,120.56969,每日20元，不分平假日,無,彰化縣員林市靜修路
TRA,TRAJNY2303,員林莒光停車場,23.96964,120.5684,計時，月租,無,彰化縣員林市和平里莒光路722號旁鐵路高架平面空地
TRA,TRAJSY4007,宜蘭停七停車場,24.75344,121.75658,計時: 小型車平日30元/小時，當日最高收費120元；假日40元，當日最高收費180元,有,宜蘭縣宜蘭市和睦路
TRA,TRAJSY4009,羅東停三停車場,24.67837,121.77503,汽車平日每小時30元、當日上限150元，假日每小時40元、當日最高上限200元；全日月租3000元，機車每小時10元，每日上限30元，全日月租500元。,有,宜蘭縣羅東鎮公正路2號
TRA,TRAJNY2603,沙鹿車站停車場,24.237239837646484,120.55783081054688,臨停  汽車：40元/時，機車：40元/次；月租  汽車：3000元/月，機車：500元/月,無,臺中市沙鹿區中正街94號
TRA,TRAJNY2602,大甲車站站前停車場,24.344789505004883,120.62687683105469,平日汽車每小時30元，最高100元，假日每小時40元，最高150元,無,臺中市大甲區大甲里中山路一段832號
TRA,TRAJNY0108,五權車站附設停車場,24.12803077697754,120.66471099853516,汽車計時: 20元/小時 12小時最高120元     機車計次:平日10元/日/次   假日30元/日/次,無,臺中市南區福平里建國南路二段201號
TRA,TRAJTY0165,鼓山站附屬停車場,22.64186,120.28067,半小時15元24小時100元,有,高雄市鼓山區鐵路街20巷5號
TRA,TRAJSY0102,花蓮停四停車場,23.9938,121.60239,臨停部份40元／天(如有優惠方案則另行公告之)月租部份$900元／月繳(如有優惠方案另行公告之),無,970花蓮縣花蓮市國聯一路100-5號
TRA,TRAJTY0167,正義站附屬停車場,22.63508,120.34236,30元/半小時當日最高200元(隔日另計),有,高雄市三民區正義路311巷(台鐵正義站)停車場
TRA,TRAJSY4201,臺東停1停車場,22.79158,121.12279,每日每次20元,無,臺東縣臺東市岩灣里岩灣路101巷610號後方
TRA,TRAJTY0105,新營東(後)站停車場,23.305700302124023,120.32353973388672,機車20 汽車8時~22時 每小時20元，時段最高160元；22時~8時 每小時10元，時段最高38元,無,臺南市新營區  中營里工業街34號
TRA,TRAJLY0107W,松山車站西區地下機車停車場,25.04928,121.57715,臨停15元/半小時，當日當次最高收費上限30元，跨日另計；月租:300元,無,臺北市松山路11號
TRA,TRAJTY0132,屏東站西側法定停車場,22.668949127197266,120.48626708984375,機車平日20/假日30 汽車每半小時10,無,屏東縣 屏東市 擇仁里公勇路 62 號
TRA,TRAJTY0115,中洲停1,22.904850006103516,120.25279235839844,每小時10元，周一至周四最高收費25元，周五、例假日(含假日前日)最高收費30元,無,臺南市仁德區  中洲五街236號
TRA,TRAJNY0103,栗林火車站附設停車場,24.235279083251953,120.71098327636719,每小時:20元,無,臺中市潭子區潭豐路二段747號
TRA,TRAJSY4006,宜蘭停六停車場,24.751419067382812,121.756591796875,"計時平日1小時以內60元,1小時以上每半小時30元;月租3600元",有,宜蘭縣宜蘭市宜興路一段130號
