縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
HualienCounty,ERV-00001,鯉魚潭潭北停車場,23.935300827026367,121.50753021240234,免費,有,花蓮縣壽豐鄉池南村環潭北路
NantouCounty,SML005,玄光寺停車場,23.85152,120.91353,免費,無,"23.85152,120.91353"
PenghuCounty,PH-20004,二崁第二停車場,23.6041202545166,119.51831817626953,暫無收費,有,澎湖縣西嶼鄉二崁12之1號
Keelung,NCG-A0167,基隆和平島公園,25.160369873046875,121.7633285522461,平日：小車一次50元、大車一次150元；假日：小車每小時30元、大車一次150元,無,基隆市中正區平一路360號
Tainan,SRY-00001,官田遊客中心停車場,23.18790054321289,120.33560180664062,免費,有,臺南市官田區官田里福田路99號
NantouCounty,SML008,大竹湖停車場,23.8673,120.93506,免費,無,"南投縣23.86732,120.93508"
NantouCounty,SML001,伊達邵中正路停車場,23.84641,120.93208,大客車：平日每小時80元，當日最高收費200元（第一小時內以一小時計，第二小時起以每半小時累進計費） 假日每小時80元，無當日最高收費（第一小時內以一小時計，第二小時起以每半小時累進計費） 小客車：平日每小時40元，當日最高收費100元（第一小時內以一小時計，第二小時起以每半小時累進計費）假日每小時40元，無當日最高收費（第一小時內以一小時計，第二小時起以每半小時累進計費）,無,"23.84641,120.93208"
ChiayiCounty,ALI-00007,奮起湖第2停車場,23.50143051147461,120.5994873046875,20元/0.5H,無,嘉義縣竹崎鄉
LienchiangCounty,matsu4,東引遊客中心停車場,26.36955,118.49049,免費,無,連江縣東引鄉樂華村160之1號
ChanghuaCounty,TRIM-00007,豐柏廣場停車場,23.823030471801758,120.61923217773438,免費,無,彰化縣二水鄉上豐村山腳路二段226巷
Keelung,NCG-C0031,八尺門停車場,25.156309127807617,121.77120971679688,30元/時(平日)，40元/時(假日),無,基隆市中正區和一路2巷 海產街旁
PenghuCounty,PH-20001,北寮奎壁山遊憩區停車場,23.597389221191406,119.67144012451172,小客車2小時內40元，超過2小時後，每半小時20元，每日最高收費200元。大客車50元/次/天；機車20元/次/天。,無,澎湖縣湖西鄉北寮41之9 號
NewTaipei,NCG-0977e,淺水灣停車場,25.252050399780273,121.47086334228516,平日小車50元/次、大車100/次，假日小車100元/次、大車100/次，機車全天20元/次,無,新北市三芝區後厝里北勢子45-32號
HualienCounty,EC-00024,石梯坪風景區停車場,23.490930557250977,121.5089111328125,大型車：假日200元、非假日170元；小型車：假日60元、非假日50元,無,花蓮縣豐濱鄉港口村石梯坪52號
NewTaipei,NCG-I0001,觀音山遊客中心,25.129240036010742,121.41873931884766,免費,無,新北市五股區凌雲路三段130號
LienchiangCounty,matsu3,莒光遊客中心停車場,25.9653,119.98147,免費,無,連江縣福正村1號
PingtungCounty,D00003,落日灣停車場,22.4443,120.48777,無,無,屏東縣東港鎮大鵬里大潭路169 號
Keelung,NCG-I0011,基隆情人湖園區,25.156620025634766,121.70587921142578,免費,無,基隆市安樂區基金一路208巷19號
TaitungCounty,ERV301,池上遊客中心停車場,23.13433,121.23323,免費,無,臺東縣池上鄉慶豐路153號
Kaohsiung,ML-00002,十八羅漢服務區停車場,22.94935,120.64181,免費,無,高雄市六龜區 復興巷66號
NewTaipei,neyc01,福隆停車場,25.017040252685547,121.94387817382812,(一)	福隆第一停車場：大型車12格，平日每次收費新臺幣100元，假日每次收費新臺幣150元；小型車153格（含無障礙專用停車位4格、親子優先停車位3格），平日每小時收費新臺幣20元，假日每小時收費新臺幣30元，以每日24小時計時收費。 (二)	福隆第二停車場：小型車42格，平日每小時收費新臺幣20元，假日每小時收費新臺幣30元；以每日24小時計時收費。,有,新北市貢寮區興隆街36號旁
PenghuCounty,PH-20003,澎湖遊客中心停車場,23.556589126586914,119.60659790039062,無收費,有,澎湖縣馬公市光華171號
TaitungCounty,EC-00001,東管處都歷遊客中心,23.019060134887695,121.3248519897461,免費,無,臺東縣成功鎮新村路25號
Kaohsiung,ML-00012,新威遊客中心第二停車場,22.890939712524414,120.62287902832031,免費,無,高雄市六龜區新威里新威171號
ChiayiCounty,ALI-00002,牛埔仔愛情大草原停車場,23.443099975585938,120.59050750732422,免費,有,嘉義縣番路鄉觸口村車埕15號
Kaohsiung,ML-00016,茂林紫蝶生態公園,22.91877,120.75925,無,無,高雄市茂林區
PingtungCounty,DPB-00024,遊一區停車場,22.45483,120.47993,0,無,屏東縣東港鎮鵬灣大道二段1號
Tainan,sir003,梅嶺資訊站停車場,23.18505,120.53346,免費,無,臺南市楠西區灣丘里香蕉山3-10號
ChanghuaCounty,Trimt008,赤水崎園區停車場,23.85606,120.62,免費,無,彰化縣中南路二段
HualienCounty,EC-00028,磯崎海濱遊憩區停車場,23.700809478759766,121.54939270019531,免費,無,花蓮縣豐濱鄉 磯崎村6-1號
HualienCounty,EC-00022,奚卜蘭遊客中心停車場,23.466140747070312,121.48837280273438,免費,無,花蓮縣豐濱鄉靜浦村靜浦8-1號
TaitungCounty,EC-00008,水往上流遊憩區停車場,22.86808967590332,121.21851348876953,免收費,無,臺東縣東河鄉都蘭村水往上流
ChiayiCounty,ALI-00006,奮起湖第1停車場,23.50143051147461,120.5994873046875,20元/0.5H，大客車200元/當日當次、2000元/月,無,嘉義縣竹崎鄉191號前停車場
NantouCounty,SML010,埔里遊客中心停車場,23.96979,120.92967,免費,無,"23.96979,120.92967"
NantouCounty,SML-sml_cc0001,車埕停車場,23.83396,120.86728,100元/次,無,"23.83396,120.86728"
PingtungCounty,DPB-00001,青洲濱海遊憩區停車場,22.447599411010742,120.45530700683594,0,無,南平路631號
Tainan,sir002,南化遊客中心停車場,23.036479949951172,120.47881317138672,免費,無,臺南市南化區西埔里西埔1之3號
Tainan,SRY-00002,紅葉公園停車場,23.338930130004883,120.50724792480469,免費,無,臺南市白河區溫泉段277、314地號
NantouCounty,SML006,慈恩塔步道停車場,23.84363,120.91959,免費,無,"23.84363,120.91959"
NewTaipei,NCG-nob02,金山立體停車場,25.22007942199707,121.64173889160156,平日20/時(上限50)，假日30/時(上限100),無,新北市金山區中興路１０１號
